Med_Name,Med_Kind,Med_Plc,Med_Remark
羟乙基淀粉(20、40)氯化钠,血液和造血器官药 [注射剂],中国,备注：限低血容量性休克或手术创伤、烧伤等引起的显著低血容量患者

羟乙基淀粉(200/0.5)氯化钠,血液和造血器官药 [注射剂],中国,备注：限低血容量性休克或手术创伤、烧伤等引起的显著低血容量患者

羟乙基淀粉(130/0.4)氯化钠,血液和造血器官药 [注射剂],中国,备注：限低血容量性休克或手术创伤、烧伤等引起的显著低血容量患者

复方氨基酸(18AA-Ⅲ),血液和造血器官药 [注射剂],中国,备注：

复方氨基酸(18AA-Ⅶ),血液和造血器官药 [注射剂],中国,备注：

复方氨基酸(6AA),血液和造血器官药 [注射剂],中国,备注：限有明确的肝硬化、重症肝炎和肝昏迷诊断证据

小儿复方氨基酸(19AA-Ⅰ),血液和造血器官药 [注射剂],中国,备注：

中/长链脂肪乳(C8-24),血液和造血器官药 [注射剂],中国,备注：

结构脂肪乳(C6-24),血液和造血器官药 [注射剂],中国,备注：限肝硬化失代偿期患者

复方氯化钠,血液和造血器官药 [注射剂],中国,备注：

葡萄糖氯化钠,血液和造血器官药 [注射剂],中国,备注：

乳酸钠林格,血液和造血器官药 [注射剂],中国,备注：

灭菌注射用水,血液和造血器官药 [注射剂],中国,备注：

甘露醇,血液和造血器官药 [注射剂],中国,备注：

氯化钾,血液和造血器官药 [注射剂],中国,备注：

甘露醇,血液和造血器官药 [冲洗剂],中国,备注：

糜蛋白酶,血液和造血器官药 [注射剂],中国,备注：

地高辛,心血管系统 [注射剂],中国,备注：

去乙酰毛花苷,心血管系统 [注射剂],中国,备注：

地高辛,心血管系统 [口服液体剂],中国,备注：

奎尼丁,心血管系统 [口服常释剂型],中国,备注：

利多卡因,心血管系统 [注射剂],中国,备注：

硝苯地平,心血管系统 [口服常释剂型],中国,备注：

氨氯地平阿托伐他汀钙,心血管系统 [口服常释剂型],中国,备注：

拉西地平,心血管系统 [口服常释剂型],中国,备注：

尼卡地平,心血管系统 [口服常释剂型;缓释控释剂型],中国,备注：

尼卡地平,心血管系统 [注射剂],中国,备注：

尼莫地平,心血管系统 [注射剂],中国,备注：

尼群洛尔,心血管系统 [口服常释剂型],中国,备注：

西尼地平,心血管系统 [口服常释剂型],中国,备注：

硝苯地平(Ⅰ),心血管系统 [缓释控释剂型],中国,备注：

硝苯地平(Ⅱ),心血管系统 [缓释控释剂型],中国,备注：

维拉帕米,心血管系统 [口服常释剂型],中国,备注：

维拉帕米,心血管系统 [注射剂],中国,备注：

雷米普利,心血管系统 [口服常释剂型],中国,备注：

西拉普利,心血管系统 [口服常释剂型],中国,备注：

氨氯地平贝那普利Ⅰ,心血管系统 [口服常释剂型],中国,备注：

复方卡托普利,心血管系统 [口服常释剂型],中国,备注：

赖诺普利氢氯噻嗪,心血管系统 [口服常释剂型],中国,备注：

氯沙坦,心血管系统 [口服常释剂型],中国,备注：

厄贝沙坦氢氯噻嗪,心血管系统 [口服常释剂型],中国,备注：

氯沙坦氢氯噻嗪,心血管系统 [口服常释剂型],中国,备注：

肼屈嗪,心血管系统 [口服常释剂型],中国,备注：

复方利血平氨苯蝶啶,心血管系统 [口服常释剂型],中国,备注：

氢氯噻嗪,心血管系统 [口服常释剂型],中国,备注：

呋塞米,心血管系统 [注射剂],中国,备注：

布美他尼,心血管系统 [口服常释剂型],中国,备注：

托拉塞米,心血管系统 [口服常释剂型],中国,备注：

氨苯蝶啶,心血管系统 [口服常释剂型],中国,备注：

酚苄明,心血管系统 [口服常释剂型],中国,备注：

尼麦角林,心血管系统 [口服常释剂型;缓释控释剂型],中国,备注：

妥拉唑啉,心血管系统 [注射剂],中国,备注：

烟酸肌醇酯,心血管系统 [口服常释剂型],中国,备注：

胰激肽原酶,心血管系统 [口服常释剂型],中国,备注：限有糖尿病诊断且有微循环障碍临床证据的患者

胰激肽原酶,心血管系统 [注射剂],中国,备注：限有糖尿病诊断且有微循环障碍临床证据的患者

地奥司明,心血管系统 [口服常释剂型],中国,备注：

普萘洛尔,心血管系统 [注射剂],中国,备注：

比索洛尔,心血管系统 [口服常释剂型],中国,备注：

美托洛尔,心血管系统 [口服常释剂型],中国,备注：

艾司洛尔,心血管系统 [注射剂],中国,备注：

美托洛尔,心血管系统 [缓释控释剂型],中国,备注：

尼群地平,心血管系统 [口服常释剂型],中国,备注：

美西律,心血管系统 [口服常释剂型],中国,备注：

普鲁卡因胺,心血管系统 [注射剂],中国,备注：

普罗帕酮,心血管系统 [口服常释剂型],中国,备注：

莫雷西嗪,心血管系统 [口服常释剂型],中国,备注：

多巴胺,心血管系统 [注射剂],中国,备注：

多巴酚丁胺,心血管系统 [注射剂],中国,备注：

间羟胺,心血管系统 [注射剂],中国,备注：

米多君,心血管系统 [口服常释剂型],中国,备注：

米力农氯化钠,心血管系统 [注射剂],中国,备注：

左西孟旦,心血管系统 [注射剂],中国,备注：限规范治疗效果不佳的急性失代偿性心力衰竭短期治疗

硝酸甘油,心血管系统 [口服常释剂型],中国,备注：

硝酸异山梨酯,心血管系统 [注射剂],中国,备注：

单硝酸异山梨酯,心血管系统 [口服常释剂型],中国,备注：

单硝酸异山梨酯(Ⅲ),心血管系统 [缓释控释剂型],中国,备注：

单硝酸异山梨酯(Ⅳ),心血管系统 [缓释控释剂型],中国,备注：

曲美他嗪,心血管系统 [口服常释剂型;缓释控释剂型],中国,备注：

利血平,心血管系统 [口服常释剂型],中国,备注：

川芎嗪,心血管系统 [注射剂],中国,备注：

多沙唑嗪,心血管系统 [口服常释剂型;缓释控释剂型],中国,备注：

萘哌地尔,心血管系统 [口服常释剂型],中国,备注：

缬沙坦氨氯地平Ⅰ,心血管系统 [口服常释剂型],中国,备注：

缬沙坦氨氯地平Ⅱ,心血管系统 [口服常释剂型],中国,备注：

氟伐他汀,心血管系统 [口服常释剂型;缓释控释剂型],中国,备注：

瑞舒伐他汀,心血管系统 [口服常释剂型],中国,备注：

苯扎贝特,心血管系统 [口服常释剂型],中国,备注：

非诺贝特(Ⅲ),心血管系统 [口服常释剂型],中国,备注：

克霉唑,皮肤病用药 [软膏剂],中国,备注：

水杨酸,皮肤病用药 [软膏剂],中国,备注：

复方安息香酊,皮肤病用药 [外用液体剂],中国,备注：

环吡酮胺,皮肤病用药 [软膏剂],中国,备注：

甲紫,皮肤病用药 [外用液体剂],中国,备注：

联苯苄唑,皮肤病用药 [外用液体剂;软膏剂],中国,备注：△

尿素,皮肤病用药 [软膏剂],中国,备注：

氧化锌,皮肤病用药 [软膏剂],中国,备注：△

重组牛碱性成纤维细胞生长因子,皮肤病用药 [外用冻干制剂],中国,备注：

重组人表皮生长因子Ⅰ,皮肤病用药 [外用液体剂],中国,备注：

阿维A,皮肤病用药 [口服常释剂型],中国,备注：

阿昔洛韦,皮肤病用药 [软膏剂],中国,备注：

夫西地酸,皮肤病用药 [软膏剂],中国,备注：

氟尿嘧啶,皮肤病用药 [软膏剂],中国,备注：

环丙沙星,皮肤病用药 [凝胶剂],中国,备注：

金霉素,皮肤病用药 [软膏剂],中国,备注：

四环素,皮肤病用药 [软膏剂],中国,备注：

四环素醋酸可的松,皮肤病用药 [软膏剂],中国,备注：

倍氯米松,皮肤病用药 [软膏剂],中国,备注：

丙酸氯倍他索,皮肤病用药 [软膏剂],中国,备注：

地塞米松,皮肤病用药 [软膏剂],中国,备注：

哈西奈德,皮肤病用药 [外用液体剂;软膏剂],中国,备注：

卤米松/三氯生,皮肤病用药 [软膏剂],中国,备注：△

苯甲酸,皮肤病用药 [软膏剂],中国,备注：

过氧化氢,皮肤病用药 [溶液剂],中国,备注：

诺氟沙星,皮肤病用药 [软膏剂],中国,备注：

红霉素,皮肤病用药 [软膏剂],中国,备注：

维A酸,皮肤病用药 [软膏剂;凝胶剂],中国,备注：△

过氧苯甲酰,皮肤病用药 [软膏剂;凝胶剂],中国,备注：△

鱼石脂,皮肤病用药 [软膏剂],中国,备注：

多塞平,皮肤病用药 [乳膏剂],中国,备注：

氢醌,皮肤病用药 [软膏剂],中国,备注：限工伤保险

甲硝维参,泌尿生殖系统药和性激素 [阴道泡腾片;栓剂],中国,备注：

甲硝唑,泌尿生殖系统药和性激素 [凝胶剂],中国,备注：

替硝唑,泌尿生殖系统药和性激素 [阴道泡腾片;栓剂],中国,备注：

硝呋太尔,泌尿生殖系统药和性激素 [口服常释剂型],中国,备注：

硝呋太尔,泌尿生殖系统药和性激素 [阴道片],中国,备注：

硝呋太尔制霉素,泌尿生殖系统药和性激素 [阴道软胶囊;栓剂],中国,备注：

米索前列醇,泌尿生殖系统药和性激素 [口服常释剂型],中国,备注：

依沙吖啶,泌尿生殖系统药和性激素 [注射剂],中国,备注：

卡前列甲酯,泌尿生殖系统药和性激素 [栓剂],中国,备注：

己酸羟孕酮,泌尿生殖系统药和性激素 [注射剂],中国,备注：

普拉睾酮,泌尿生殖系统药和性激素 [注射剂],中国,备注：

十一酸睾酮,泌尿生殖系统药和性激素 [口服常释剂型],中国,备注：

雌二醇,泌尿生殖系统药和性激素 [凝胶剂],中国,备注：△

尼尔雌醇,泌尿生殖系统药和性激素 [口服常释剂型],中国,备注：

戊酸雌二醇,泌尿生殖系统药和性激素 [口服常释剂型],中国,备注：

黄体酮,泌尿生殖系统药和性激素 [注射剂],中国,备注：

地屈孕酮,泌尿生殖系统药和性激素 [口服常释剂型],中国,备注：

黄体酮,泌尿生殖系统药和性激素 [口服常释剂型],中国,备注：

黄体酮,泌尿生殖系统药和性激素 [栓剂],中国,备注：

甲羟孕酮,泌尿生殖系统药和性激素 [注射剂],中国,备注：

炔诺酮,泌尿生殖系统药和性激素 [口服常释剂型;丸剂],中国,备注：△

烯丙雌醇,泌尿生殖系统药和性激素 [口服常释剂型],中国,备注：

头孢氨苄,全身用抗感染药 [口服常释剂型;颗粒剂],中国,备注：

头孢拉定,全身用抗感染药 [口服液体剂;颗粒剂],中国,备注：

头孢羟氨苄,全身用抗感染药 [口服常释剂型;颗粒剂],中国,备注：

头孢丙烯,全身用抗感染药 [口服常释剂型;口服液体剂;颗粒剂],中国,备注：

头孢呋辛酯,全身用抗感染药 [口服液体剂;颗粒剂],中国,备注：

头孢克洛,全身用抗感染药 [口服常释剂型;缓释控释剂型;口服液体剂;颗粒剂],中国,备注：

头孢克洛Ⅱ,全身用抗感染药 [缓释控释剂型],中国,备注：

头孢克肟,全身用抗感染药 [口服常释剂型;口服液体剂;颗粒剂],中国,备注：

头孢唑肟,全身用抗感染药 [注射剂],中国,备注：

头孢匹罗,全身用抗感染药 [注射剂],中国,备注：限重症感染

氨曲南,全身用抗感染药 [注射剂],中国,备注：限有药敏试验证据

厄他培南,全身用抗感染药 [注射剂],中国,备注：限腹腔感染、复杂性皮肤及附属器感染、社区获得性肺炎、复杂性尿道感染、急性盆腔感染；直结肠手术的预防感染

磺胺嘧啶,全身用抗感染药 [口服常释剂型],中国,备注：

磺胺多辛,全身用抗感染药 [口服常释剂型],中国,备注：

复方磺胺甲噁唑,全身用抗感染药 [口服常释剂型],中国,备注：

复方磺胺甲噁唑,全身用抗感染药 [注射剂],中国,备注：

阿奇霉素,全身用抗感染药 [口服液体剂],中国,备注：

琥乙红霉素,全身用抗感染药 [口服常释剂型;颗粒剂],中国,备注：

克林霉素,全身用抗感染药 [口服常释剂型],中国,备注：

林可霉素,全身用抗感染药 [注射剂],中国,备注：

炔雌醇环丙孕酮,泌尿生殖系统药和性激素 [口服常释剂型],中国,备注：限多囊卵巢综合症

甲羟孕酮,泌尿生殖系统药和性激素 [口服常释剂型],中国,备注：

绒促性素,泌尿生殖系统药和性激素 [注射剂],中国,备注：

氯米芬,泌尿生殖系统药和性激素 [口服常释剂型],中国,备注：

尿促性素,泌尿生殖系统药和性激素 [注射剂],中国,备注：

达那唑,泌尿生殖系统药和性激素 [口服常释剂型],中国,备注：

雷洛昔芬,泌尿生殖系统药和性激素 [口服常释剂型],中国,备注：

孕三烯酮,泌尿生殖系统药和性激素 [口服常释剂型],中国,备注：

非那吡啶,泌尿生殖系统药和性激素 [口服常释剂型],中国,备注：限膀胱镜检查使用

聚苯乙烯磺酸钙,泌尿生殖系统药和性激素 [口服散剂],中国,备注：

左卡尼汀,泌尿生殖系统药和性激素 [注射剂],中国,备注：限长期血透患者在血透期间使用

阿夫唑嗪,泌尿生殖系统药和性激素 [口服常释剂型;缓释控释剂型],中国,备注：

普适泰,泌尿生殖系统药和性激素 [口服常释剂型],中国,备注：

坦索罗辛,泌尿生殖系统药和性激素 [口服常释剂型;缓释控释剂型],中国,备注：

促皮质素,除性激素和胰岛素外的全身激素制剂 [注射剂],中国,备注：

垂体后叶,除性激素和胰岛素外的全身激素制剂 [注射剂],中国,备注：

去氨加压素,除性激素和胰岛素外的全身激素制剂 [口服常释剂型],中国,备注：

缩宫素,除性激素和胰岛素外的全身激素制剂 [注射剂],中国,备注：

卡贝缩宫素,除性激素和胰岛素外的全身激素制剂 [注射剂],中国,备注：

泼尼松,除性激素和胰岛素外的全身激素制剂 [口服常释剂型],中国,备注：

倍他米松,除性激素和胰岛素外的全身激素制剂 [口服常释剂型],中国,备注：

倍他米松,除性激素和胰岛素外的全身激素制剂 [吸入剂],中国,备注：

泼尼松龙,除性激素和胰岛素外的全身激素制剂 [口服常释剂型],中国,备注：

泼尼松龙,除性激素和胰岛素外的全身激素制剂 [注射剂],中国,备注：

曲安西龙,除性激素和胰岛素外的全身激素制剂 [口服常释剂型],中国,备注：

左甲状腺素,除性激素和胰岛素外的全身激素制剂 [口服常释剂型],中国,备注：

复方碘溶液,除性激素和胰岛素外的全身激素制剂 [口服液体剂],中国,备注：

碘塞罗宁,除性激素和胰岛素外的全身激素制剂 [口服常释剂型],中国,备注：

鲑降钙素,除性激素和胰岛素外的全身激素制剂 [注射剂],中国,备注：

西那卡塞,除性激素和胰岛素外的全身激素制剂 [口服常释剂型],中国,备注：限血透且有继发性甲状旁腺功能亢进的患者

多西环素,全身用抗感染药 [注射剂],中国,备注：限无法使用多西环素口服制剂的患者

替加环素,全身用抗感染药 [注射剂],中国,备注：限复杂性腹腔感染、复杂性皮肤及软组织感染、社区获得性肺炎的重症患者，以及多重耐药的鲍曼不动杆菌或碳青霉烯类耐药的肠杆菌感染患者（不包括中枢神经系统、尿路感染）

哌拉西林,全身用抗感染药 [注射剂],中国,备注：

美洛西林,全身用抗感染药 [注射剂],中国,备注：

青霉素,全身用抗感染药 [注射剂],中国,备注：

普鲁卡因青霉素,全身用抗感染药 [注射剂],中国,备注：

苯唑西林,全身用抗感染药 [口服常释剂型],中国,备注：

阿莫西林舒巴坦,全身用抗感染药 [注射剂],中国,备注：

氨苄西林舒巴坦,全身用抗感染药 [注射剂],中国,备注：

哌拉西林舒巴坦,全身用抗感染药 [注射剂],中国,备注：

伏立康唑,全身用抗感染药 [注射剂],中国,备注：限有明确的重度免疫缺陷诊断并发严重真菌感染的临床证据；曲霉菌肺炎或中枢神经系统感染

氟康唑氯化钠,全身用抗感染药 [注射剂],中国,备注：

伊曲康唑,全身用抗感染药 [口服液体剂],中国,备注：限有HIV诊断或免疫缺陷患者口腔或食道真菌感染

氟胞嘧啶,全身用抗感染药 [口服常释剂型],中国,备注：

对氨基水杨酸钠,全身用抗感染药 [口服常释剂型],中国,备注：

利福霉素,全身用抗感染药 [注射剂],中国,备注：

异烟肼,全身用抗感染药 [口服常释剂型],中国,备注：

异福,全身用抗感染药 [口服常释剂型],中国,备注：

氨苯砜,全身用抗感染药 [口服常释剂型],中国,备注：

利巴韦林,全身用抗感染药 [口服常释剂型;颗粒剂],中国,备注：

利巴韦林,全身用抗感染药 [注射剂],中国,备注：

伐昔洛韦,全身用抗感染药 [口服常释剂型],中国,备注：

泛昔洛韦,全身用抗感染药 [口服常释剂型],中国,备注：

泛昔洛韦,全身用抗感染药 [注射剂],中国,备注：

更昔洛韦,全身用抗感染药 [口服常释剂型],中国,备注：

更昔洛韦,全身用抗感染药 [注射剂],中国,备注：

金刚乙胺,全身用抗感染药 [口服常释剂型;口服液体剂;颗粒剂],中国,备注：

沙奎那韦,全身用抗感染药 [口服常释剂型],中国,备注：限艾滋病病毒感染

拉米夫定,全身用抗感染药 [口服常释剂型],中国,备注：限有活动性乙型肝炎的明确诊断及检验证据或母婴乙肝传播阻断

齐多夫定,全身用抗感染药 [口服液体剂],中国,备注：限艾滋病病毒感染

齐多夫定,全身用抗感染药 [注射剂],中国,备注：限艾滋病病毒感染

司他夫定,全身用抗感染药 [口服散剂],中国,备注：限艾滋病病毒感染

抗艾滋病用药,全身用抗感染药 ,中国,备注：◇

齐多拉米双夫定,全身用抗感染药 [口服常释剂型],中国,备注：限艾滋病病毒感染

抗狂犬病血清,全身用抗感染药 [注射剂],中国,备注：

抗蝮蛇毒血清,全身用抗感染药 [注射剂],中国,备注：

抗蝰蛇毒血清,全身用抗感染药 [注射剂],中国,备注：

抗五步蛇毒血清,全身用抗感染药 [注射剂],中国,备注：

A型肉毒抗毒素,全身用抗感染药 [注射剂],中国,备注：

静注人免疫球蛋白(pH4),全身用抗感染药 [注射剂],中国,备注：限原发性免疫球蛋白缺乏症；新生儿败血症；重型原发性免疫性血小板减少症；川崎病；全身型重症肌无力；急性格林巴利综合征

