Med_Name,Med_Kind,Med_Plc
那曲肝素钙,血液和造血器官药 [注射剂],国家

替罗非班,血液和造血器官药 [注射剂],国家

重组链激酶,血液和造血器官药 [注射剂],国家

阿加曲班,血液和造血器官药 [注射剂],国家

氨基己酸,血液和造血器官药 [口服常释剂型],国家

复合磷酸氢钾,消化道和代谢方面的药物 [注射剂],国家

氯化钙,消化道和代谢方面的药物 [注射剂],国家

加贝酯,消化道和代谢方面的药物 [注射剂],国家

特利加压素,消化道和代谢方面的药物 [注射剂],国家

那屈肝素钙,血液和造血器官药 [注射剂],国家

氯吡格雷,血液和造血器官药 [口服常释剂型],国家

替罗非班氯化钠,血液和造血器官药 [注射剂],国家

阿替普酶,血液和造血器官药 [注射剂],国家

阿哌沙班,血液和造血器官药 [口服常释剂型],国家

氨甲苯酸氯化钠,血液和造血器官药 [注射剂],国家

甲萘氢醌,血液和造血器官药 [口服常释剂型],国家

维生素K1,血液和造血器官药 [注射剂],国家

酚磺乙胺,血液和造血器官药 [注射剂],国家

卡络磺钠,血液和造血器官药 [口服常释剂型],国家

重组人血小板生成素,血液和造血器官药 [注射剂],国家

富马酸亚铁,血液和造血器官药 [口服常释剂型;口服液体剂;颗粒剂;咀嚼片],国家

山梨醇铁,血液和造血器官药 [注射剂],国家

甲钴胺,血液和造血器官药 [口服常释剂型],国家

腺苷钴胺,血液和造血器官药 [口服常释剂型],国家

羟乙基淀粉(20、40)氯化钠,血液和造血器官药 [注射剂],国家

人凝血因子Ⅷ,血液和造血器官药 [注射剂],国家

白眉蛇毒血凝酶,血液和造血器官药 [注射剂],国家

聚桂醇,血液和造血器官药 [注射剂],国家

人凝血酶原复合物,血液和造血器官药 [注射剂],国家

琥珀酸亚铁,血液和造血器官药 [口服常释剂型],国家

琥珀酸亚铁,血液和造血器官药 [缓释控释剂型;颗粒剂],国家

叶酸,血液和造血器官药 [口服常释剂型],国家

利可君,血液和造血器官药 [口服常释剂型],国家

重组人促红素-β(CHO细胞),血液和造血器官药 [注射剂],国家

羟乙基淀粉(200/0.5)氯化钠,血液和造血器官药 [注射剂],国家

羟乙基淀粉(130/0.4)氯化钠,血液和造血器官药 [注射剂],国家

复方氨基酸(18AA-Ⅶ),血液和造血器官药 [注射剂],国家

小儿复方氨基酸(19AA-Ⅰ),血液和造血器官药 [注射剂],国家

结构脂肪乳(C6-24),血液和造血器官药 [注射剂],国家

葡萄糖氯化钠,血液和造血器官药 [注射剂],国家

灭菌注射用水,血液和造血器官药 [注射剂],国家

氯化钾,血液和造血器官药 [注射剂],国家

糜蛋白酶,血液和造血器官药 [注射剂],国家

去乙酰毛花苷,心血管系统 [注射剂],国家

奎尼丁,心血管系统 [口服常释剂型],国家

复方氨基酸(18AA-Ⅲ),血液和造血器官药 [注射剂],国家

复方氨基酸(6AA),血液和造血器官药 [注射剂],国家

中/长链脂肪乳(C8-24),血液和造血器官药 [注射剂],国家

复方氯化钠,血液和造血器官药 [注射剂],国家

乳酸钠林格,血液和造血器官药 [注射剂],国家

甘露醇,血液和造血器官药 [注射剂],国家

甘露醇,血液和造血器官药 [冲洗剂],国家

地高辛,心血管系统 [注射剂],国家

地高辛,心血管系统 [口服液体剂],国家

利多卡因,心血管系统 [注射剂],国家

硝苯地平,心血管系统 [口服常释剂型],国家

拉西地平,心血管系统 [口服常释剂型],国家

尼卡地平,心血管系统 [注射剂],国家

尼群洛尔,心血管系统 [口服常释剂型],国家

硝苯地平(Ⅰ),心血管系统 [缓释控释剂型],国家

维拉帕米,心血管系统 [口服常释剂型],国家

雷米普利,心血管系统 [口服常释剂型],国家

氨氯地平贝那普利Ⅰ,心血管系统 [口服常释剂型],国家

赖诺普利氢氯噻嗪,心血管系统 [口服常释剂型],国家

厄贝沙坦氢氯噻嗪,心血管系统 [口服常释剂型],国家

氨氯地平阿托伐他汀钙,心血管系统 [口服常释剂型],国家

尼卡地平,心血管系统 [口服常释剂型;缓释控释剂型],国家

尼莫地平,心血管系统 [注射剂],国家

西尼地平,心血管系统 [口服常释剂型],国家

硝苯地平(Ⅱ),心血管系统 [缓释控释剂型],国家

维拉帕米,心血管系统 [注射剂],国家

西拉普利,心血管系统 [口服常释剂型],国家

复方卡托普利,心血管系统 [口服常释剂型],国家

氯沙坦,心血管系统 [口服常释剂型],国家

氯沙坦氢氯噻嗪,心血管系统 [口服常释剂型],国家

肼屈嗪,心血管系统 [口服常释剂型],国家

氢氯噻嗪,心血管系统 [口服常释剂型],国家

布美他尼,心血管系统 [口服常释剂型],国家

氨苯蝶啶,心血管系统 [口服常释剂型],国家

尼麦角林,心血管系统 [口服常释剂型;缓释控释剂型],国家

烟酸肌醇酯,心血管系统 [口服常释剂型],国家

胰激肽原酶,心血管系统 [注射剂],国家

普萘洛尔,心血管系统 [注射剂],国家

美托洛尔,心血管系统 [口服常释剂型],国家

美托洛尔,心血管系统 [缓释控释剂型],国家

复方利血平氨苯蝶啶,心血管系统 [口服常释剂型],国家

呋塞米,心血管系统 [注射剂],国家

托拉塞米,心血管系统 [口服常释剂型],国家

酚苄明,心血管系统 [口服常释剂型],国家

妥拉唑啉,心血管系统 [注射剂],国家

胰激肽原酶,心血管系统 [口服常释剂型],国家

地奥司明,心血管系统 [口服常释剂型],国家

比索洛尔,心血管系统 [口服常释剂型],国家

艾司洛尔,心血管系统 [注射剂],国家

尼群地平,心血管系统 [口服常释剂型],国家

美西律,心血管系统 [口服常释剂型],国家

普罗帕酮,心血管系统 [口服常释剂型],国家

多巴胺,心血管系统 [注射剂],国家

间羟胺,心血管系统 [注射剂],国家

米力农氯化钠,心血管系统 [注射剂],国家

硝酸甘油,心血管系统 [口服常释剂型],国家

单硝酸异山梨酯,心血管系统 [口服常释剂型],国家

单硝酸异山梨酯(Ⅳ),心血管系统 [缓释控释剂型],国家

利血平,心血管系统 [口服常释剂型],国家

多沙唑嗪,心血管系统 [口服常释剂型;缓释控释剂型],国家

普鲁卡因胺,心血管系统 [注射剂],国家

莫雷西嗪,心血管系统 [口服常释剂型],国家

多巴酚丁胺,心血管系统 [注射剂],国家

米多君,心血管系统 [口服常释剂型],国家

左西孟旦,心血管系统 [注射剂],国家

硝酸异山梨酯,心血管系统 [注射剂],国家

单硝酸异山梨酯(Ⅲ),心血管系统 [缓释控释剂型],国家

曲美他嗪,心血管系统 [口服常释剂型;缓释控释剂型],国家

川芎嗪,心血管系统 [注射剂],国家

萘哌地尔,心血管系统 [口服常释剂型],国家

缬沙坦氨氯地平Ⅰ,心血管系统 [口服常释剂型],国家

氟伐他汀,心血管系统 [口服常释剂型;缓释控释剂型],国家

苯扎贝特,心血管系统 [口服常释剂型],国家

克霉唑,皮肤病用药 [软膏剂],国家

复方安息香酊,皮肤病用药 [外用液体剂],国家

甲紫,皮肤病用药 [外用液体剂],国家

尿素,皮肤病用药 [软膏剂],国家

重组牛碱性成纤维细胞生长因子,皮肤病用药 [外用冻干制剂],国家

阿维A,皮肤病用药 [口服常释剂型],国家

夫西地酸,皮肤病用药 [软膏剂],国家

缬沙坦氨氯地平Ⅱ,心血管系统 [口服常释剂型],国家

瑞舒伐他汀,心血管系统 [口服常释剂型],国家

非诺贝特(Ⅲ),心血管系统 [口服常释剂型],国家

水杨酸,皮肤病用药 [软膏剂],国家

环吡酮胺,皮肤病用药 [软膏剂],国家

联苯苄唑,皮肤病用药 [外用液体剂;软膏剂],国家

氧化锌,皮肤病用药 [软膏剂],国家

重组人表皮生长因子Ⅰ,皮肤病用药 [外用液体剂],国家

阿昔洛韦,皮肤病用药 [软膏剂],国家

氟尿嘧啶,皮肤病用药 [软膏剂],国家

环丙沙星,皮肤病用药 [凝胶剂],国家

四环素,皮肤病用药 [软膏剂],国家

倍氯米松,皮肤病用药 [软膏剂],国家

地塞米松,皮肤病用药 [软膏剂],国家

卤米松/三氯生,皮肤病用药 [软膏剂],国家

过氧化氢,皮肤病用药 [溶液剂],国家

红霉素,皮肤病用药 [软膏剂],国家

过氧苯甲酰,皮肤病用药 [软膏剂;凝胶剂],国家

多塞平,皮肤病用药 [乳膏剂],国家

甲硝维参,泌尿生殖系统药和性激素 [阴道泡腾片;栓剂],国家

金霉素,皮肤病用药 [软膏剂],国家

四环素醋酸可的松,皮肤病用药 [软膏剂],国家

丙酸氯倍他索,皮肤病用药 [软膏剂],国家

哈西奈德,皮肤病用药 [外用液体剂;软膏剂],国家

苯甲酸,皮肤病用药 [软膏剂],国家

诺氟沙星,皮肤病用药 [软膏剂],国家

维A酸,皮肤病用药 [软膏剂;凝胶剂],国家

鱼石脂,皮肤病用药 [软膏剂],国家

氢醌,皮肤病用药 [软膏剂],国家

甲硝唑,泌尿生殖系统药和性激素 [凝胶剂],国家

替硝唑,泌尿生殖系统药和性激素 [阴道泡腾片;栓剂],国家

硝呋太尔,泌尿生殖系统药和性激素 [阴道片],国家

米索前列醇,泌尿生殖系统药和性激素 [口服常释剂型],国家

卡前列甲酯,泌尿生殖系统药和性激素 [栓剂],国家

普拉睾酮,泌尿生殖系统药和性激素 [注射剂],国家

雌二醇,泌尿生殖系统药和性激素 [凝胶剂],国家

戊酸雌二醇,泌尿生殖系统药和性激素 [口服常释剂型],国家

地屈孕酮,泌尿生殖系统药和性激素 [口服常释剂型],国家

黄体酮,泌尿生殖系统药和性激素 [栓剂],国家

炔诺酮,泌尿生殖系统药和性激素 [口服常释剂型;丸剂],国家

硝呋太尔,泌尿生殖系统药和性激素 [口服常释剂型],国家

硝呋太尔制霉素,泌尿生殖系统药和性激素 [阴道软胶囊;栓剂],国家

依沙吖啶,泌尿生殖系统药和性激素 [注射剂],国家

己酸羟孕酮,泌尿生殖系统药和性激素 [注射剂],国家

十一酸睾酮,泌尿生殖系统药和性激素 [口服常释剂型],国家

尼尔雌醇,泌尿生殖系统药和性激素 [口服常释剂型],国家

黄体酮,泌尿生殖系统药和性激素 [注射剂],国家

黄体酮,泌尿生殖系统药和性激素 [口服常释剂型],国家

甲羟孕酮,泌尿生殖系统药和性激素 [注射剂],国家

烯丙雌醇,泌尿生殖系统药和性激素 [口服常释剂型],国家

头孢氨苄,全身用抗感染药 [口服常释剂型;颗粒剂],国家

头孢羟氨苄,全身用抗感染药 [口服常释剂型;颗粒剂],国家

头孢呋辛酯,全身用抗感染药 [口服液体剂;颗粒剂],国家

头孢克洛Ⅱ,全身用抗感染药 [缓释控释剂型],国家

头孢唑肟,全身用抗感染药 [注射剂],国家

氨曲南,全身用抗感染药 [注射剂],国家

磺胺嘧啶,全身用抗感染药 [口服常释剂型],国家

复方磺胺甲噁唑,全身用抗感染药 [口服常释剂型],国家

阿奇霉素,全身用抗感染药 [口服液体剂],国家

克林霉素,全身用抗感染药 [口服常释剂型],国家

头孢拉定,全身用抗感染药 [口服液体剂;颗粒剂],国家

头孢丙烯,全身用抗感染药 [口服常释剂型;口服液体剂;颗粒剂],国家

头孢克洛,全身用抗感染药 [口服常释剂型;缓释控释剂型;口服液体剂;颗粒剂],国家

头孢克肟,全身用抗感染药 [口服常释剂型;口服液体剂;颗粒剂],国家

头孢匹罗,全身用抗感染药 [注射剂],国家

厄他培南,全身用抗感染药 [注射剂],国家

磺胺多辛,全身用抗感染药 [口服常释剂型],国家

复方磺胺甲噁唑,全身用抗感染药 [注射剂],国家

琥乙红霉素,全身用抗感染药 [口服常释剂型;颗粒剂],国家

林可霉素,全身用抗感染药 [注射剂],国家

炔雌醇环丙孕酮,泌尿生殖系统药和性激素 [口服常释剂型],国家

绒促性素,泌尿生殖系统药和性激素 [注射剂],国家

尿促性素,泌尿生殖系统药和性激素 [注射剂],国家

雷洛昔芬,泌尿生殖系统药和性激素 [口服常释剂型],国家

非那吡啶,泌尿生殖系统药和性激素 [口服常释剂型],国家

左卡尼汀,泌尿生殖系统药和性激素 [注射剂],国家

普适泰,泌尿生殖系统药和性激素 [口服常释剂型],国家

促皮质素,除性激素和胰岛素外的全身激素制剂 [注射剂],国家

去氨加压素,除性激素和胰岛素外的全身激素制剂 [口服常释剂型],国家

卡贝缩宫素,除性激素和胰岛素外的全身激素制剂 [注射剂],国家

甲羟孕酮,泌尿生殖系统药和性激素 [口服常释剂型],国家

氯米芬,泌尿生殖系统药和性激素 [口服常释剂型],国家

达那唑,泌尿生殖系统药和性激素 [口服常释剂型],国家

孕三烯酮,泌尿生殖系统药和性激素 [口服常释剂型],国家

聚苯乙烯磺酸钙,泌尿生殖系统药和性激素 [口服散剂],国家

阿夫唑嗪,泌尿生殖系统药和性激素 [口服常释剂型;缓释控释剂型],国家

坦索罗辛,泌尿生殖系统药和性激素 [口服常释剂型;缓释控释剂型],国家

垂体后叶,除性激素和胰岛素外的全身激素制剂 [注射剂],国家

缩宫素,除性激素和胰岛素外的全身激素制剂 [注射剂],国家

泼尼松,除性激素和胰岛素外的全身激素制剂 [口服常释剂型],国家

倍他米松,除性激素和胰岛素外的全身激素制剂 [口服常释剂型],国家

泼尼松龙,除性激素和胰岛素外的全身激素制剂 [口服常释剂型],国家

曲安西龙,除性激素和胰岛素外的全身激素制剂 [口服常释剂型],国家

复方碘溶液,除性激素和胰岛素外的全身激素制剂 [口服液体剂],国家

鲑降钙素,除性激素和胰岛素外的全身激素制剂 [注射剂],国家

多西环素,全身用抗感染药 [注射剂],国家

哌拉西林,全身用抗感染药 [注射剂],国家

青霉素,全身用抗感染药 [注射剂],国家

苯唑西林,全身用抗感染药 [口服常释剂型],国家

氨苄西林舒巴坦,全身用抗感染药 [注射剂],国家

倍他米松,除性激素和胰岛素外的全身激素制剂 [吸入剂],国家

泼尼松龙,除性激素和胰岛素外的全身激素制剂 [注射剂],国家

左甲状腺素,除性激素和胰岛素外的全身激素制剂 [口服常释剂型],国家

碘塞罗宁,除性激素和胰岛素外的全身激素制剂 [口服常释剂型],国家

西那卡塞,除性激素和胰岛素外的全身激素制剂 [口服常释剂型],国家

替加环素,全身用抗感染药 [注射剂],国家

美洛西林,全身用抗感染药 [注射剂],国家

普鲁卡因青霉素,全身用抗感染药 [注射剂],国家

阿莫西林舒巴坦,全身用抗感染药 [注射剂],国家

哌拉西林舒巴坦,全身用抗感染药 [注射剂],国家

伏立康唑,全身用抗感染药 [注射剂],国家

伊曲康唑,全身用抗感染药 [口服液体剂],国家

对氨基水杨酸钠,全身用抗感染药 [口服常释剂型],国家

异烟肼,全身用抗感染药 [口服常释剂型],国家

氨苯砜,全身用抗感染药 [口服常释剂型],国家

利巴韦林,全身用抗感染药 [注射剂],国家

泛昔洛韦,全身用抗感染药 [口服常释剂型],国家

更昔洛韦,全身用抗感染药 [口服常释剂型],国家

金刚乙胺,全身用抗感染药 [口服常释剂型;口服液体剂;颗粒剂],国家

拉米夫定,全身用抗感染药 [口服常释剂型],国家

氟康唑氯化钠,全身用抗感染药 [注射剂],国家

氟胞嘧啶,全身用抗感染药 [口服常释剂型],国家

利福霉素,全身用抗感染药 [注射剂],国家

异福,全身用抗感染药 [口服常释剂型],国家

利巴韦林,全身用抗感染药 [口服常释剂型;颗粒剂],国家

伐昔洛韦,全身用抗感染药 [口服常释剂型],国家

泛昔洛韦,全身用抗感染药 [注射剂],国家

更昔洛韦,全身用抗感染药 [注射剂],国家

沙奎那韦,全身用抗感染药 [口服常释剂型],国家

齐多夫定,全身用抗感染药 [口服液体剂],国家

齐多夫定,全身用抗感染药 [注射剂],国家

抗艾滋病用药,全身用抗感染药 ,国家

抗狂犬病血清,全身用抗感染药 [注射剂],国家

抗蝰蛇毒血清,全身用抗感染药 [注射剂],国家

A型肉毒抗毒素,全身用抗感染药 [注射剂],国家

破伤风人免疫球蛋白,全身用抗感染药 [注射剂],国家

人用狂犬病疫苗(地鼠肾细胞),全身用抗感染药 [注射剂],国家

人用狂犬病疫苗(人二倍体细胞),全身用抗感染药 [注射剂],国家

环磷酰胺,抗肿瘤药及免疫调节剂 [注射剂],国家

白消安,抗肿瘤药及免疫调节剂 [注射剂],国家

司他夫定,全身用抗感染药 [口服散剂],国家

齐多拉米双夫定,全身用抗感染药 [口服常释剂型],国家

抗蝮蛇毒血清,全身用抗感染药 [注射剂],国家

抗五步蛇毒血清,全身用抗感染药 [注射剂],国家

静注人免疫球蛋白(pH4),全身用抗感染药 [注射剂],国家

人狂犬病免疫球蛋白,全身用抗感染药 [注射剂],国家

人用狂犬病疫苗(鸡胚细胞),全身用抗感染药 [注射剂],国家

环磷酰胺,抗肿瘤药及免疫调节剂 [口服常释剂型],国家

硝卡芥,抗肿瘤药及免疫调节剂 [注射剂],国家

培美曲塞,抗肿瘤药及免疫调节剂 [注射剂],国家

克林霉素棕榈酸酯,全身用抗感染药 [颗粒剂],国家

依替米星,全身用抗感染药 [注射剂],国家

左氧氟沙星,全身用抗感染药 [口服常释剂型],国家

环丙沙星氯化钠,全身用抗感染药 [注射剂],国家

莫西沙星氯化钠,全身用抗感染药 [注射剂],国家

吡哌酸,全身用抗感染药 [口服常释剂型],国家

替硝唑,全身用抗感染药 [口服常释剂型],国家

甲硝唑氯化钠,全身用抗感染药 [注射剂],国家

大观霉素,全身用抗感染药 [注射剂],国家

青霉素皮试剂,全身用抗感染药 [注射剂],国家

庆大霉素,全身用抗感染药 [口服常释剂型],国家

氧氟沙星,全身用抗感染药 [口服常释剂型],国家

环丙沙星葡萄糖,全身用抗感染药 [注射剂],国家

吉米沙星,全身用抗感染药 [口服常释剂型],国家

左氧氟沙星葡萄糖,全身用抗感染药 [注射剂],国家

甲硝唑,全身用抗感染药 [注射剂],国家

奥硝唑,全身用抗感染药 [注射剂],国家

替硝唑葡萄糖,全身用抗感染药 [注射剂],国家

磷霉素氨丁三醇,全身用抗感染药 [口服常释剂型;口服散剂],国家

两性霉素B,全身用抗感染药 [脂质体注射剂],国家

氟达拉滨,抗肿瘤药及免疫调节剂 [注射剂],国家

阿糖胞苷,抗肿瘤药及免疫调节剂 [注射剂],国家

氟尿嘧啶氯化钠,抗肿瘤药及免疫调节剂 [注射剂],国家

去氧氟尿苷,抗肿瘤药及免疫调节剂 [口服常释剂型],国家

长春瑞滨,抗肿瘤药及免疫调节剂 [注射剂],国家

多西他赛,抗肿瘤药及免疫调节剂 [注射剂],国家

三尖杉酯碱,抗肿瘤药及免疫调节剂 [注射剂],国家

丝裂霉素,抗肿瘤药及免疫调节剂 [注射剂],国家

顺铂,抗肿瘤药及免疫调节剂 [注射剂],国家

丙卡巴肼,抗肿瘤药及免疫调节剂 [口服常释剂型],国家

硫鸟嘌呤,抗肿瘤药及免疫调节剂 [口服常释剂型],国家

替加氟,抗肿瘤药及免疫调节剂 [口服常释剂型],国家

卡培他滨,抗肿瘤药及免疫调节剂 [口服常释剂型],国家

替加氟,抗肿瘤药及免疫调节剂 [注射剂],国家

紫杉醇,抗肿瘤药及免疫调节剂 [注射剂],国家

羟喜树碱,抗肿瘤药及免疫调节剂 [注射剂],国家

柔红霉素,抗肿瘤药及免疫调节剂 [注射剂],国家

卡铂,抗肿瘤药及免疫调节剂 [注射剂],国家

顺铂氯化钠,抗肿瘤药及免疫调节剂 [注射剂],国家

达沙替尼,抗肿瘤药及免疫调节剂 [口服常释剂型],国家

吉非替尼,抗肿瘤药及免疫调节剂 [口服常释剂型],国家

门冬酰胺酶,抗肿瘤药及免疫调节剂 [注射剂],国家

亚砷酸,抗肿瘤药及免疫调节剂 [注射剂],国家

三氧化二砷氯化钠,抗肿瘤药及免疫调节剂 [注射剂],国家

比卡鲁胺,抗肿瘤药及免疫调节剂 [口服常释剂型],国家

托瑞米芬,抗肿瘤药及免疫调节剂 [口服常释剂型],国家

重组人干扰素α1b,抗肿瘤药及免疫调节剂 [注射剂],国家

重组人干扰素α2a(酵母),抗肿瘤药及免疫调节剂 [注射剂],国家

重组人白介素-11,抗肿瘤药及免疫调节剂 [注射剂],国家

重组人白介素-11(酵母),抗肿瘤药及免疫调节剂 [注射剂],国家

伊马替尼,抗肿瘤药及免疫调节剂 [口服常释剂型],国家

甲异靛,抗肿瘤药及免疫调节剂 [口服常释剂型],国家

亚砷酸氯化钠,抗肿瘤药及免疫调节剂 [注射剂],国家

丙氨瑞林,抗肿瘤药及免疫调节剂 [注射剂],国家

来曲唑,抗肿瘤药及免疫调节剂 [口服常释剂型],国家

重组人粒细胞刺激因子(CHO细胞),抗肿瘤药及免疫调节剂 [注射剂],国家

重组人干扰素α2a,抗肿瘤药及免疫调节剂 [注射剂],国家

重组人干扰素α2b,抗肿瘤药及免疫调节剂 [注射剂],国家

重组人白介素-11(Ⅰ),抗肿瘤药及免疫调节剂 [注射剂],国家

重组人白介素-2,抗肿瘤药及免疫调节剂 [注射剂],国家

氨肽素,抗肿瘤药及免疫调节剂 [口服常释剂型],国家

巴利昔单抗,抗肿瘤药及免疫调节剂 [注射剂],国家

硫唑嘌呤,抗肿瘤药及免疫调节剂 [口服常释剂型],国家

咪唑立宾,抗肿瘤药及免疫调节剂 [口服常释剂型],国家

吲哚美辛,肌肉-骨骼系统药物 [口服常释剂型;缓释控释剂型;缓控释颗粒剂],国家

小儿布洛芬,肌肉-骨骼系统药物 [栓剂],国家

萘普生,肌肉-骨骼系统药物 [口服常释剂型;缓释控释剂型],国家

塞来昔布,肌肉-骨骼系统药物 [口服常释剂型],国家

