Hos_Name,Hos_City,Hos_Grade,Hos_Speciality
北京海文妇科医院,北京市-朝阳区,,
北京市朝阳区南磨房医院（朝阳区南磨房街道双龙南里社区卫生服务站）,北京市-朝阳区,,
朝阳区南磨房医院,北京市-朝阳区,,
北京米扬医疗美容整形外科医院（北京米扬医疗美容整形外科机构）,北京市-朝阳区,,
北京化学工业有限公司化工二厂医院,北京市-朝阳区,,
北京鸿慈童康,北京市-朝阳区,,
北京方舟白癜风牛皮癣医学研究院,北京市-朝阳区,,白癜风科、牛皮癣专科
北京基础美整形美容医院,北京市-朝阳区,,
北京市朝阳区曙光医院,北京市-朝阳区,,
北京星源医疗美容医院,北京市-朝阳区,,
北京第七城市建设工程公司医院,北京市-朝阳区,,
北京佳境健康体检中心,北京市-朝阳区,,
朝阳区安慧医院,北京市-朝阳区,,
中国中医药研究院附属济华医院,北京市-朝阳区,,
北京七星华电科技集团有限责任公司医院,北京市-朝阳区,,
北京万和颈椎病医院,北京市-朝阳区,,骨科
北内集团职工医院,北京市-朝阳区,,
北京民众眼科医院,北京市-朝阳区,,
北京京韩医疗整形美容机构,北京市-朝阳区,,
北内集团总公司北京双井医院,北京市-朝阳区,,
北京圣保罗医院,北京市-朝阳区,,
北京北亚医院,北京市-朝阳区,,
朝阳区红庙医院,北京市-朝阳区,,
北京大学第三医院（北医三院）,北京市-海淀区,三级甲等,骨科、皮肤性病科、妇产科、儿科、运动医学科、心血管内科、外科、眼科、泌尿外科、血液内科、肾内科
中国中医科学院西苑医院（西苑医院）,北京市-海淀区,三级甲等,心血管内科、老年病医疗中心、血液内科
海军总医院（中国人民解放军海军总医院）,北京市-海淀区,三级甲等,呼吸内科、神经外科、骨科、耳鼻喉科、儿科、眼科、老年科及航空潜水医学中心、高压氧科
北京大学口腔医院,北京市-海淀区,三级甲等,口腔修复科、正畸科、颌面外科
北京大学第六医院（北医六院）,北京市-海淀区,三级甲等,综合科、儿童病房、临床心理科
解放军第309医院（309医院）,北京市-海淀区,三级甲等,外科、神经内科、国际肿瘤治疗中心、骨科、全军结核病研究所、移植中心、体检中心
解放军总医院烧伤整形医院（全军烧伤研究所）,北京市-海淀区,三级甲等,烧伤外科、整形美容科
航天中心医院（721医院）,北京市-海淀区,三级丙等,神经内科、心血管内科、脑外科、心胸外科、骨科、泌尿内科、妇产科
北京田永成医疗美容连锁机构（田永成医疗美容连锁机构）,北京市-朝阳区,,
中国人民解放军总医院（解放军301医院、三零一医院、301医院）,北京市-海淀区,三级甲等,骨科、耳鼻喉科、老年消化内科、老年神经内科、老年呼吸科、老年心血管内科
北京世纪坛医院（世纪坛医院）,北京市-海淀区,三级甲等,肿瘤科、心血管内科、妇科、耳鼻咽喉科、淋巴外科、普通外科、产科、神经精神内科
武警总医院（公安二师医院、解放军第医院警卫一师医院）,北京市-海淀区,三级甲等,血管外科、神经内科、泌尿外科、消化内科、普外科、眼眶病研究所
北京肿瘤医院（北京大学肿瘤学院、北京市肿瘤防治研究所）,北京市-海淀区,三级甲等,乳腺癌预防治疗中心、肿瘤康复科、肾癌黑色素瘤内科、胃肠肿瘤微创外科
解放军总医院第一附属医院（304医院）,北京市-海淀区,三级甲等,急救部、泌尿外科、肿瘤科、烧伤整形科
中国人民解放军空军总医院（空军总医院）,北京市-海淀区,三级甲等,骨科、皮肤性病科、中医科
北京466医院（空军航空医学研究所附属医院）,北京市-海淀区,三级甲等,妇产科、男科、不孕不育科、泌尿外科
中国人民解放军二六一医院（261医院）,北京市-海淀区,三级乙等,精一科、精二科、精三科、精四科
北京老年医院,北京市-海淀区,三级丙等,介入科、老年科、内分泌科、重症监护病房
北京市海淀医院,北京市-海淀区,二级甲等,
北京市海淀区妇幼保健院,北京市-海淀区,二级甲等,
北京市社会福利医院,北京市-海淀区,二级甲等,
北京市第四社会福利院,北京市-海淀区,二级甲等,
中国人民解放军五一一一二医院（51112医院）,北京市-海淀区,二级甲等,
北京市化工职业病防治院（北京化工医院）,北京市-海淀区,二级甲等,
中国人民解放军三一六医院（316医院）,北京市-海淀区,二级甲等,泌尿外科、妇产科
北京市羊坊店医院（北京铁路局羊坊店铁路医院、惠民医院）,北京市-海淀区,二级乙等,
北京新兴医院,北京市-海淀区,一级甲等,
中国人民大学医院,北京市-海淀区,一级甲等,
北京市中西医结合医院（北京中医药大学附属中西医结合医院）,北京市-海淀区,二级甲等,
北京市中关村医院,北京市-海淀区,二级甲等,
北京市上地医院,北京市-海淀区,二级甲等,
北京市化工职业病防治院北京化工医院,北京市-海淀区,二级甲等,
北京水利医院,北京市-海淀区,二级甲等,
北京市海淀区精神卫生防治院（北京市海淀区青龙桥医院）,北京市-海淀区,二级甲等,妇产科、精神病科、内科、外科
中国人民解放军六六四00部队医院（66400医院、六六四零零医院）,北京市-海淀区,二级甲等,
北京大学医院,北京市-海淀区,二级乙等,
北京长青肛肠医院（北京海淀长青医院）,北京市-海淀区,一级甲等,
北京京民医院,北京市-海淀区,一级甲等,
北京市海淀区清河医院（海淀区卫校附属医院）,北京市-海淀区,一级甲等,
北京邮电大学医院,北京市-海淀区,一级甲等,
北京市海淀区新兴医院,北京市-海淀区,一级甲等,
北京核工业二院,北京市-海淀区,一级甲等,心脏内科、神经外科
北京市海淀区北太平庄医院（北太平庄地区社区医疗服务中心）,北京市-海淀区,一级甲等,
中共中央党校医院,北京市-海淀区,一级甲等,
京民医院（海淀区钓鱼台医院）,北京市-海淀区,一级甲等,
北京市海淀区中医院,北京市-海淀区,一级甲等,妇产科、中医科
北京市海淀区八里庄医院,北京市-海淀区,一级甲等,
北京德尔康尼骨科医院,北京市-海淀区,一级甲等,
北京香山医院,北京市-海淀区,一级甲等,
北京市海淀区甘家口医院,北京市-海淀区,一级甲等,
清华大学校医院,北京市-海淀区,一级甲等,
北京市海淀区志新村医院,北京市-海淀区,一级甲等,
海淀区甘家口医院,北京市-海淀区,一级甲等,
中国农业大学（东区）医院,北京市-海淀区,一级甲等,
中国兵器工业集团公司北京北方医院,北京市-海淀区,一级甲等,
北京市海淀区玉渊潭医院（北京市海淀区玉渊潭乡医院）,北京市-海淀区,一级甲等,
北京科技大学医院,北京市-海淀区,一级甲等,
中国兵器工业总公司北京北方医院,北京市-海淀区,一级甲等,
北京城建第四医院,北京市-海淀区,一级甲等,
北京航空航天大学校医院,北京市-海淀区,一级甲等,
海淀区红十字医院（蓟门里医院）,北京市-海淀区,一级甲等,
北京理工大学医院,北京市-海淀区,一级甲等,
北京市海淀区塔院社区服务中心,北京市-海淀区,一级甲等,
北京军区炮兵海淀区香山骨科医院,北京市-海淀区,一级甲等,
北京市海淀区北蜂窝医院,北京市-海淀区,一级甲等,
北京因苏林糖尿病医院,北京市-海淀区,一级乙等,
海淀区蓟门里医院,北京市-海淀区,一级乙等,
北京市海淀区红十字医院,北京市-海淀区,一级乙等,
北京市海淀区四季青医院,北京市-海淀区,一级甲等,
北京市海淀区苏家坨精神病院,北京市-海淀区,一级甲等,
北京城建集团有限责任公司第四医院,北京市-海淀区,一级甲等,
北京市海淀区颐园医院,北京市-海淀区,一级甲等,
北京市清河医院,北京市-海淀区,一级甲等,
北京康乐医院,北京市-海淀区,一级甲等,
北京外国语学院医院,北京市-海淀区,一级甲等,
北京市海淀区北下关医院,北京市-海淀区,一级乙等,
北京水建二医院（北京城建中西医结合医院）,北京市-海淀区,一级乙等,
北京京北医院,北京市-海淀区,一级丙等,肛肠科、中医科、儿科、肾内科
北京市红十字血液中心,北京市-海淀区,,
海淀区志新村医院,北京市-海淀区,,
北京李沁奕华意整形外科诊所,北京市-海淀区,,
北京伟力嘉美信医疗美容中心,北京市-海淀区,,
北京体育大学校医院,北京市-海淀区,,
北京潘中恒中医骨伤病医院,北京市-海淀区,,
北京张宗学整形美容医院,北京市-海淀区,,
北京菲格口腔门诊部,北京市-海淀区,,
北京京广医院,北京市-海淀区,,
北京林业大学校医院,北京市-海淀区,,
北京疤康诊所,北京市-海淀区,,
海淀区万寿路医院,北京市-海淀区,,
北京中仁中医院,北京市-海淀区,,
邦定美容中心,北京市-海淀区,,
伊美尔紫竹医院,北京市-海淀区,,
中央民族大学医院,北京市-海淀区,,
北京千福健康体检,北京市-海淀区,,
北京坤鹤百草堂肿瘤医学研究院,北京市-海淀区,,
北京天昱医院,北京市-海淀区,,
北京交通大学校医院,北京市-海淀区,,
中研中医脑病研究院,北京市-海淀区,,
北京市海淀区西翠医院,北京市-海淀区,,
北京光彩明天儿童眼科医院,北京市-海淀区,,
中国人民解放军三Ｏ七医院军事医学院附属医院,北京市-海淀区,,
北京伟力·嘉美信整容医院,北京市-海淀区,,
海淀区松堂医院,北京市-海淀区,,
北京市道培医院,北京市-海淀区,,
佰众体检健康管理（连锁）机构,北京市-海淀区,,
海淀区新兴医院,北京市-海淀区,,
海淀区北蜂窝医院,北京市-海淀区,,
中国人民解放军四六六医院,北京市-海淀区,,
海淀区万泉医院,北京市-海淀区,,
北京老年医院北京胸科医院,北京市-海淀区,,
北京市海淀区万泉医院,北京市-海淀区,,
北京丽扬整形美容医疗中心,北京市-海淀区,,
海淀区皇苑医院,北京市-海淀区,,
北京语言大学医院,北京市-海淀区,,
北京三博脑科医院,北京市-海淀区,,神经外科一病区、神经外科二病区、神经外科三病区、神经内科、麻醉疼痛科
海淀区颐园医院,北京市-海淀区,,
北京市海淀区北方肿瘤医院,北京市-海淀区,,
北京空军总医院激光整形中心,北京市-海淀区,,
中国人民解放军51112医院,北京市-海淀区,,
海淀区玉渊潭医院,北京市-海淀区,,
中国人民解放军第三Ｏ九医院,北京市-海淀区,,
中国农业大学（西区）校医院,北京市-海淀区,,
北京康乐尔神经伤残医学研究所尔康医院,北京市-海淀区,,
北京市海淀区蓝天医院（北京蓝天医院）,北京市-海淀区,,
海淀区西翠医院,北京市-海淀区,,皮肤性病科
海淀区北下关医院,北京市-海淀区,,
北京玉之光医疗整形美容国际连锁机构（玉之光（北京）国际医疗美容整形机构）,北京市-海淀区,,
北京市体育师范学院医院,北京市-海淀区,,
中国人民解放军三Ｏ四医院,北京市-海淀区,,
海淀区苏家坨精神病院,北京市-海淀区,,
海淀区妇幼保健院,北京市-海淀区,,
中国新兴建设开发总公司北京中兴医院,北京市-海淀区,,
海淀区蓝天医院,北京市-海淀区,,
北京圣爱泌尿男科医院,北京市-海淀区,,
海淀区清河医院海淀区卫校附属医院,北京市-海淀区,,
北京师范大学医院,北京市-海淀区,,
北京东方瑞丽医学美容门诊部（北京东方瑞丽整形医院）,北京市-海淀区,,
海淀区青龙桥医院海淀区精神卫生防治院,北京市-海淀区,,
北京伊美尔整形连锁医院集团,北京市-海淀区,,
北京道培医院,北京市-海淀区,,
北京雅韵医疗美容机构,北京市-海淀区,,
北京中关村医院激光整形美容中心,北京市-海淀区,,
北京武警总医院医学整形美容中心,北京市-海淀区,,
北京北方交通大学校医院,北京市-海淀区,,
北京中医药大学东方医院,北京市-丰台区,三级甲等,妇科、呼吸热病科、内分泌科、神经内科、肾内科、心血管内科、周围血管科
中国人民解放军第三0二医院（302医院、三零二医院）,北京市-丰台区,三级甲等,青少年肝病诊疗与研究中心、感染性疾病诊疗与研究中心、肝硬化诊疗中心、老年肝病科、中西医结合肝病科、重型肝炎科、肝胆外科一中心
北京电力医院,北京市-丰台区,三级乙等,内分泌科、肿瘤科
北京东方瑞丽医学美容门诊,北京市-海淀区,,
北京阳光平安门诊部,北京市-海淀区,,
海淀区八里庄医院,北京市-海淀区,,
海淀区北太平庄医院,北京市-海淀区,,
北京家恩德运医院,北京市-海淀区,,
北京伊美尔健翔医疗美容专科医院（北京伊美尔健翔医院）,北京市-海淀区,,
解放军307医院（解放军三零七医院）,北京市-丰台区,三级甲等,血液内科、肾内科、内分泌科、肿瘤科、神经外科、呼吸内科、造血干细胞移植科、心内科
首都医科大学附属北京佑安医院（佑安医院）,北京市-丰台区,三级甲等,感染科、性病艾滋病门诊、肝炎研究所、肝胆外科
中国康复研究中心北京博爱医院,北京市-丰台区,三级甲等,康复医学科、神经康复科、脊柱脊髓外科
北京航天总医院,北京市-丰台区,三级乙等,
北京市武警北京总队第三医院,北京市-丰台区,三级乙等,
北京铁路分局中心医院,北京市-丰台区,二级甲等,
中国航天科工集团七三一医院（中国航天工业总公司七三一医院）,北京市-丰台区,二级甲等,外科
北京丰台医院桥南部,北京市-丰台区,二级甲等,
北京市丰台区医院,北京市-丰台区,二级甲等,
北京安太医院（北京安太嘉园医院）,北京市-丰台区,二级乙等,
北京市丰台区南苑医院,北京市-丰台区,二级乙等,
丰台区南苑医院,北京市-丰台区,二级丙等,
北京市丰台区华兴医院,北京市-丰台区,一级甲等,
北京京仁医院,北京市-丰台区,一级甲等,男科
北京丰台医院,北京市-丰台区,二级甲等,
北京国济中医医院,北京市-丰台区,二级甲等,中医妇科、西医妇科
武警北京总队第三医院,北京市-丰台区,二级甲等,
北京市丰台区丰台医院,北京市-丰台区,二级甲等,
航天海鹰中心医院（中国人民解放军312医院）,北京市-丰台区,二级甲等,妇产科、内科、普外科、骨科
北京市丰台区铁营医院,北京市-丰台区,二级乙等,
北京医院协会右安门医院（首都医科大学宣武医院分院、宣武医院分院、首都医科大学附属宣武医院分院）,北京市-丰台区,二级丙等,
北京市丰台区长辛店医院,北京市-丰台区,二级丙等,内科、皮肤性病科、外科、老年骨科
北京丰台医星医院,北京市-丰台区,一级甲等,
北京二七车辆厂医院,北京市-丰台区,一级甲等,
北京市丰台区卢沟桥国医院,北京市-丰台区,一级甲等,外科
北京市丰台区华西医院,北京市-丰台区,一级甲等,
北京市丰台区京材医院,北京市-丰台区,一级甲等,
北京市丰台区方庄医院,北京市-丰台区,一级甲等,
北京市丰台区方庄第一医院,北京市-丰台区,一级甲等,
北京市丰台区兴海医院,北京市-丰台区,一级甲等,
北京市丰台区洋桥医院,北京市-丰台区,一级甲等,
北京市丰台区和平医院,北京市-丰台区,一级甲等,
北京市北方车辆制造厂职工医院,北京市-丰台区,一级甲等,
北京市丰台区蒲黄榆医院,北京市-丰台区,一级甲等,
北京市丰台区卢沟桥医院（卢沟桥社区卫生服务中心）,北京市-丰台区,一级甲等,内科
北京市丰台区大红门医院,北京市-丰台区,一级甲等,
国营第618厂职工医院,北京市-丰台区,一级甲等,
北京市三环英和医院（北京桥梁厂医院）,北京市-丰台区,一级甲等,
中国兵器工业集团第二0一所医院,北京市-丰台区,一级甲等,
北京市二七车辆厂医院,北京市-丰台区,一级甲等,
北京市丰台区右外医院,北京市-丰台区,一级甲等,
北京市丰台区花乡医院,北京市-丰台区,一级甲等,
北京市城建第二医院,北京市-丰台区,一级甲等,
北京东管头投资管理公司丽泽医院,北京市-丰台区,一级乙等,
北京市丰台区华丰医院,北京市-丰台区,一级乙等,
北京市丰台区燕竹医院,北京市-丰台区,一级乙等,
北京市红十字会和平医院,北京市-丰台区,一级乙等,
北京燕竹医院,北京市-丰台区,,
北京华博医院,北京市-丰台区,,
丰台区卢沟桥国医院,北京市-丰台区,,
丰台区永南医院,北京市-丰台区,,
北京中联医博国际血管肿瘤研究院,北京市-丰台区,,
丰台区右外医院,北京市-丰台区,,
丰台区蒲黄榆医院,北京市-丰台区,,
北京市丰台区广济医院,北京市-丰台区,一级乙等,
北京市丰台区永南医院,北京市-丰台区,一级乙等,
中国康复研究中心（北京博爱医院）,北京市-丰台区,,
北京市丰台区精神病防治院,北京市-丰台区,,
北京市丰台区东罗园农工商联合公司永南医院,北京市-丰台区,,
丰台区华丰医院,北京市-丰台区,,
丰台区和平医院,北京市-丰台区,,
北京市丰台区兴隆骨伤医院,北京市-丰台区,,
丰台区晓园中医院,北京市-丰台区,,
丰台区广济医院,北京市-丰台区,,
丰台区丰北医院,北京市-丰台区,,
丰台区长辛店医院,北京市-丰台区,,
丰台区妇幼保健院,北京市-丰台区,,
丰台区三路居医院,北京市-丰台区,,
丰台区兴隆中医院,北京市-丰台区,,
北京市丰台区晓园中医院,北京市-丰台区,,
丰台区洋桥医院,北京市-丰台区,,
丰台区兴隆骨伤医院,北京市-丰台区,,
